index,Job Title,job_title_sim,Company Name,Location City,Location State,Size,Type of ownership,Industry,Sector,Lower Salary,Upper Salary,Avg Salary(K),Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Salary Estimate,Rating
76,Customer Data Scientist/Sales Engineer (Bay,Data Scientist,h2o.ai,Mountain View, CA,201 - 500,Company - Private,Enterprise Software & Network Solutions,Information Technology,79,222,150.5,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,$79K-$222K (Glassdoor est.),4.3
77,Research Scientist,Other Scientist,GNS Healthcare,Cambridge, MA,51 - 200,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,57,118,87.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,$57K-$118K (Glassdoor est.),1.9
78,Data Scientist,Data Scientist,Peraton,Chantilly, VA,1001 - 5000,Company - Private,Aerospace & Defense,Aerospace & Defense,83,137,110,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,$83K-$137K (Glassdoor est.),3.3
79,Data Scientist,Data Scientist,Pactera,San Jose, CA,10000+,Company - Private,IT Services,Information Technology,86,141,113.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$86K-$141K (Glassdoor est.),4.4
80,Data Scientist,Data Scientist,Nurx,San Francisco, CA,51 - 200,Company - Private,Health Care Services & Hospitals,Health Care,94,154,124,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,$94K-$154K (Glassdoor est.),3.9
81,Jr. Business Data Analyst,Data Analyst,webfx.com,Harrisburg, PA,201 - 500,Company - Private,Advertising & Marketing,Business Services,37,76,56.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,$37K-$76K (Glassdoor est.),4.7
82,Data Scientist,Data Scientist,Johns Hopkins University Applied Physics Laboratory,Laurel, MD,5001 - 10000,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,100,160,130,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$100K-$160K (Glassdoor est.),4.5
83,Data Analyst,Data Analyst,Productive Edge,Chicago, IL,51 - 200,Company - Private,Computer Hardware & Software,Information Technology,55,100,77.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,$55K-$100K (Glassdoor est.),4.3
84,Data Engineer,Data Engineer,Excella Consulting,Arlington, VA,201 - 500,Company - Private,Consulting,Business Services,60,114,87,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,$60K-$114K (Glassdoor est.),4
85,Data Analyst,Data Analyst,Gensco,Tacoma, WA,501 - 1000,Company - Private,Wholesale,Business Services,39,68,53.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$39K-$68K (Glassdoor est.),4.4
